date,equity,cash,open_positions
2024-12-18,75117.81013471568,75117.81013471568,0
2024-12-19,75117.81013471568,75117.81013471568,0
2024-12-20,75117.81013471568,75117.81013471568,0
2024-12-23,75117.81013471568,75117.81013471568,0
2024-12-24,75117.81013471568,75117.81013471568,0
2024-12-26,75117.81013471568,75117.81013471568,0
2024-12-27,75117.81013471568,75117.81013471568,0
2024-12-30,75117.81013471568,75117.81013471568,0
2024-12-31,75117.81013471568,75117.81013471568,0
2025-01-02,75117.81013471568,75117.81013471568,0
2025-01-03,75117.81013471568,75117.81013471568,0
2025-01-06,75117.81013471568,75117.81013471568,0
2025-01-07,75117.81013471568,75117.81013471568,0
2025-01-08,75117.81013471568,75117.81013471568,0
2025-01-10,75117.81013471568,75117.81013471568,0
2025-01-13,75117.81013471568,75117.81013471568,0
2025-01-14,75117.81013471568,75117.81013471568,0
2025-01-15,75117.81013471568,75117.81013471568,0
2025-01-16,75117.81013471568,75117.81013471568,0
2025-01-17,75117.81013471568,75117.81013471568,0
2025-01-21,75117.81013471568,75117.81013471568,0
2025-01-22,75117.81013471568,75117.81013471568,0
2025-01-23,75117.81013471568,75117.81013471568,0
2025-01-24,75117.81013471568,75117.81013471568,0
2025-01-27,75117.81013471568,75117.81013471568,0
2025-01-28,75117.81013471568,75117.81013471568,0
2025-01-29,75117.81013471568,75117.81013471568,0
2025-01-30,75117.81013471568,75117.81013471568,0
2025-01-31,75117.81013471568,75117.81013471568,0
2025-02-03,75117.81013471568,75117.81013471568,0
2025-02-04,75117.81013471568,75117.81013471568,0
2025-02-05,75117.81013471568,75117.81013471568,0
2025-02-06,75117.81013471568,75117.81013471568,0
2025-02-07,75117.81013471568,75117.81013471568,0
2025-02-10,75117.81013471568,75117.81013471568,0
2025-02-11,75117.81013471568,75117.81013471568,0
2025-02-12,75117.81013471568,75117.81013471568,0
2025-02-13,75117.81013471568,75117.81013471568,0
2025-02-14,75117.81013471568,75117.81013471568,0
2025-02-18,75117.81013471568,75117.81013471568,0
2025-02-19,75117.81013471568,75117.81013471568,0
2025-02-20,75117.81013471568,75117.81013471568,0
2025-02-21,75117.81013471568,75117.81013471568,0
2025-02-24,75117.81013471568,75117.81013471568,0
2025-02-25,75117.81013471568,75117.81013471568,0
2025-02-26,75117.81013471568,75117.81013471568,0
2025-02-27,75117.81013471568,75117.81013471568,0
2025-02-28,75117.81013471568,75117.81013471568,0
2025-03-03,75117.81013471568,75117.81013471568,0
2025-03-04,75117.81013471568,75117.81013471568,0
2025-03-05,75117.81013471568,75117.81013471568,0
2025-03-06,75117.81013471568,75117.81013471568,0
2025-03-07,75117.81013471568,75117.81013471568,0
2025-03-10,75117.81013471568,75117.81013471568,0
2025-03-11,75117.81013471568,75117.81013471568,0
2025-03-12,75117.81013471568,75117.81013471568,0
2025-03-13,75117.81013471568,75117.81013471568,0
2025-03-14,75117.81013471568,75117.81013471568,0
2025-03-17,75117.81013471568,75117.81013471568,0
2025-03-18,75117.81013471568,75117.81013471568,0
2025-03-19,75117.81013471568,75117.81013471568,0
2025-03-20,75117.81013471568,75117.81013471568,0
2025-03-21,75117.81013471568,75117.81013471568,0
2025-03-24,75117.81013471568,75117.81013471568,0
2025-03-25,75117.81013471568,75117.81013471568,0
2025-03-26,75117.81013471568,75117.81013471568,0
2025-03-27,75117.81013471568,75117.81013471568,0
2025-03-28,75117.81013471568,75117.81013471568,0
2025-03-31,75117.81013471568,75117.81013471568,0
2025-04-01,75117.81013471568,75117.81013471568,0
2025-04-02,75117.81013471568,75117.81013471568,0
2025-04-03,75117.81013471568,75117.81013471568,0
